Run started: 2026-03-01T21:49:24
Total params: 4,165,985 (15.89 MB)
Trainable params: 4,165,985 (15.89 MB)
Non-trainable params: 0 (0.00 B)
--------------------------------------------------------------------------------
Training setup | epochs=15 | optimizer=AdamW(lr=3e-4, weight_decay=1e-5)
step=100 train_batch_loss=3.7994
step=200 train_batch_loss=3.6264
step=300 train_batch_loss=3.5051
step=400 train_batch_loss=3.3918
step=500 train_batch_loss=3.3521
step=600 train_batch_loss=3.3683
step=700 train_batch_loss=3.4515
step=800 train_batch_loss=3.1985
step=900 train_batch_loss=3.2966
step=1000 train_batch_loss=3.1926
step=1100 train_batch_loss=2.7772
step=1200 train_batch_loss=2.6925
step=1300 train_batch_loss=2.4580
step=1400 train_batch_loss=2.0017
step=1500 train_batch_loss=1.8628
step=1600 train_batch_loss=1.5815
step=1700 train_batch_loss=1.6571
step=1800 train_batch_loss=1.0563
step=1900 train_batch_loss=1.0777
step=2000 train_batch_loss=1.0573
step=2100 train_batch_loss=1.0871
step=2200 train_batch_loss=1.0423
step=2300 train_batch_loss=1.0511
step=2400 train_batch_loss=0.9100
step=2500 train_batch_loss=0.8941
step=2600 train_batch_loss=0.8581
step=2700 train_batch_loss=0.8812
step=2800 train_batch_loss=0.6141
step=2900 train_batch_loss=1.0190
step=3000 train_batch_loss=0.7130
step=3100 train_batch_loss=0.6307
step=3200 train_batch_loss=0.7226
step=3300 train_batch_loss=0.7869
step=3400 train_batch_loss=0.7962
step=3500 train_batch_loss=0.8671
step=3600 train_batch_loss=0.4652
step=3700 train_batch_loss=0.5549
step=3800 train_batch_loss=0.7530
step=3900 train_batch_loss=0.4960
step=4000 train_batch_loss=0.6184
step=4100 train_batch_loss=0.5825
step=4200 train_batch_loss=0.7109
step=4300 train_batch_loss=0.5945
step=4400 train_batch_loss=0.5218
step=4500 train_batch_loss=0.6091
step=4600 train_batch_loss=0.5893
step=4700 train_batch_loss=0.6042
step=4800 train_batch_loss=0.4860
step=4900 train_batch_loss=0.6742
step=5000 train_batch_loss=0.4186
step=5100 train_batch_loss=0.5732
step=5200 train_batch_loss=0.4791
step=5300 train_batch_loss=0.3925
step=5400 train_batch_loss=0.4087
step=5500 train_batch_loss=0.6266
step=5600 train_batch_loss=0.4983
step=5700 train_batch_loss=0.4787
step=5800 train_batch_loss=0.6849
step=5900 train_batch_loss=0.4580
step=6000 train_batch_loss=0.3916
step=6100 train_batch_loss=0.5293
step=6200 train_batch_loss=0.3967
step=6300 train_batch_loss=0.3601
step=6400 train_batch_loss=0.4277
step=6500 train_batch_loss=0.4110
step=6600 train_batch_loss=0.2749
step=6700 train_batch_loss=0.7519
step=6800 train_batch_loss=0.4657
step=6900 train_batch_loss=0.5664
step=7000 train_batch_loss=0.3701
step=7100 train_batch_loss=0.5612
step=7200 train_batch_loss=0.4724
step=7300 train_batch_loss=0.2886
step=7400 train_batch_loss=0.4344
step=7500 train_batch_loss=0.4611
step=7600 train_batch_loss=0.4484
step=7700 train_batch_loss=0.6079
step=7800 train_batch_loss=0.3833
step=7900 train_batch_loss=0.3221
step=8000 train_batch_loss=0.5574
step=8100 train_batch_loss=0.3023
step=8200 train_batch_loss=0.4965
step=8300 train_batch_loss=0.4345
step=8400 train_batch_loss=0.5696
step=8500 train_batch_loss=0.3770
step=8600 train_batch_loss=0.5004
step=8700 train_batch_loss=0.4546
step=8800 train_batch_loss=0.4060
step=8900 train_batch_loss=0.3350
